These metrics have been extracted from all contracts with the parent directory as ../Contracts on 15-07-2023_03-41-37
File Name,Number of Contracts,Contract Name,Inheritance Depth,Number of Functions,Function Name,Number of Parameters,Nesting Depth,Function Calls
Contract2.sol,4,Contract1,0,3,constructor,1,0,0
Contract2.sol,4,Contract1,0,3,setValue,1,0,0
Contract2.sol,4,Contract1,0,3,getValue,0,0,0
Contract2.sol,4,Contract2,0,3,constructor,1,0,0
Contract2.sol,4,Contract2,0,3,setMessage,1,0,0
Contract2.sol,4,Contract2,0,3,getMessage,0,0,0
Contract2.sol,4,Contract3,0,2,constructor,0,0,0
Contract2.sol,4,Contract3,0,2,transferOwnership,1,0,1
Contract2.sol,4,Contract4,0,2,setValue,1,0,0
Contract2.sol,4,Contract4,0,2,getValue,0,0,0
DateTime.sol,1,DateTimeLibrary,0,3,_daysToDate,1,0,0
DateTime.sol,1,DateTimeLibrary,0,3,timestampToDate,1,0,0
DateTime.sol,1,DateTimeLibrary,0,3,slitherConstructorConstantVariables,0,0,0
Inheritance.sol,4,Base,0,1,doSomething,0,0,0
Inheritance.sol,4,Derived1,1,2,doSomething,0,0,0
Inheritance.sol,4,Derived1,1,2,doSomethingElse,0,0,0
Inheritance.sol,4,Derived2,2,3,doSomethingElse,0,0,0
Inheritance.sol,4,Derived2,2,3,doSomething,0,0,0
Inheritance.sol,4,Derived2,2,3,doAnotherThing,0,0,0
Inheritance.sol,4,Derived3,3,4,doAnotherThing,0,0,0
Inheritance.sol,4,Derived3,3,4,doSomethingElse,0,0,0
Inheritance.sol,4,Derived3,3,4,doSomething,0,0,0
Inheritance.sol,4,Derived3,3,4,doYetAnotherThing,0,0,0
MyContract.sol,1,SimpleStorage,0,2,store,1,0,0
MyContract.sol,1,SimpleStorage,0,2,retrieve,0,0,0
RaceCondition.sol,2,ERC20,0,6,totalSupply,0,0,0
RaceCondition.sol,2,ERC20,0,6,balanceOf,1,0,0
RaceCondition.sol,2,ERC20,0,6,transfer,2,0,0
RaceCondition.sol,2,ERC20,0,6,transferFrom,3,0,0
RaceCondition.sol,2,ERC20,0,6,approve,2,0,0
RaceCondition.sol,2,ERC20,0,6,allowance,2,0,0
RaceCondition.sol,2,RaceCondition,0,3,RaceCondition,2,0,0
RaceCondition.sol,2,RaceCondition,0,3,buy,1,0,2
RaceCondition.sol,2,RaceCondition,0,3,changePrice,1,0,1
Conditions.sol,1,SampleContract,0,5,incrementCount,0,0,0
Conditions.sol,1,SampleContract,0,5,decrementCount,0,3,1
Conditions.sol,1,SampleContract,0,5,resetCount,0,0,0
Conditions.sol,1,SampleContract,0,5,complexFunction,0,4,3
Conditions.sol,1,SampleContract,0,5,slitherConstructorVariables,0,0,0
