These metrics have been extracted from all contracts with the parent directory as ../Contracts on 17-07-2023_20-18-38
File Name,Number of Contracts,Contract Name,Inheritance Depth,CBO,Number of Functions,Function Name,Number of Parameters,Nesting Depth,Function Calls,Cyclomatic Complexity
Contract2.sol,4,Contract1,0,0,3,constructor,1,0,0,1
Contract2.sol,4,Contract1,0,0,3,setValue,1,0,0,1
Contract2.sol,4,Contract1,0,0,3,getValue,0,0,0,1
Contract2.sol,4,Contract2,0,0,3,constructor,1,0,0,1
Contract2.sol,4,Contract2,0,0,3,setMessage,1,0,0,1
Contract2.sol,4,Contract2,0,0,3,getMessage,0,0,0,1
Contract2.sol,4,Contract3,0,0,2,constructor,0,0,0,1
Contract2.sol,4,Contract3,0,0,2,transferOwnership,1,0,1,1
Contract2.sol,4,Contract4,0,0,2,setValue,1,0,0,1
Contract2.sol,4,Contract4,0,0,2,getValue,0,0,0,1
DateTime.sol,1,DateTimeLibrary,0,0,3,_daysToDate,1,0,0,1
DateTime.sol,1,DateTimeLibrary,0,0,3,timestampToDate,1,0,0,1
DateTime.sol,1,DateTimeLibrary,0,0,3,slitherConstructorConstantVariables,0,0,0,1
Inheritance.sol,4,Base,0,0,1,doSomething,0,0,0,1
Inheritance.sol,4,Derived1,1,0,2,doSomething,0,0,0,1
Inheritance.sol,4,Derived1,1,0,2,doSomethingElse,0,0,0,1
Inheritance.sol,4,Derived2,2,0,3,doSomethingElse,0,0,0,1
Inheritance.sol,4,Derived2,2,0,3,doSomething,0,0,0,1
Inheritance.sol,4,Derived2,2,0,3,doAnotherThing,0,0,0,1
Inheritance.sol,4,Derived3,3,0,4,doAnotherThing,0,0,0,1
Inheritance.sol,4,Derived3,3,0,4,doSomethingElse,0,0,0,1
Inheritance.sol,4,Derived3,3,0,4,doSomething,0,0,0,1
Inheritance.sol,4,Derived3,3,0,4,doYetAnotherThing,0,0,0,1
MyContract.sol,1,SimpleStorage,0,0,2,store,1,0,0,1
MyContract.sol,1,SimpleStorage,0,0,2,retrieve,0,0,0,1
RaceCondition.sol,2,ERC20,0,0,6,totalSupply,0,0,0,2
RaceCondition.sol,2,ERC20,0,0,6,balanceOf,1,0,0,2
RaceCondition.sol,2,ERC20,0,0,6,transfer,2,0,0,2
RaceCondition.sol,2,ERC20,0,0,6,transferFrom,3,0,0,2
RaceCondition.sol,2,ERC20,0,0,6,approve,2,0,0,2
RaceCondition.sol,2,ERC20,0,0,6,allowance,2,0,0,2
RaceCondition.sol,2,RaceCondition,0,1,3,RaceCondition,2,0,0,1
RaceCondition.sol,2,RaceCondition,0,1,3,buy,1,0,2,1
RaceCondition.sol,2,RaceCondition,0,1,3,changePrice,1,0,1,1
Conditions.sol,1,SampleContract,0,0,5,incrementCount,0,0,0,1
Conditions.sol,1,SampleContract,0,0,5,decrementCount,0,3,1,6
Conditions.sol,1,SampleContract,0,0,5,resetCount,0,0,0,1
Conditions.sol,1,SampleContract,0,0,5,complexFunction,0,4,3,7
Conditions.sol,1,SampleContract,0,0,5,slitherConstructorVariables,0,0,0,1
Coupling.sol,4,Contract1,0,0,1,setData,1,0,0,1
Coupling.sol,4,Contract2,0,1,2,constructor,1,0,0,1
Coupling.sol,4,Contract2,0,1,2,setData,1,0,1,1
Coupling.sol,4,Contract3,0,2,2,constructor,2,0,0,1
Coupling.sol,4,Contract3,0,2,2,setData,1,0,2,1
Coupling.sol,4,Contract4,0,3,2,constructor,3,0,0,1
Coupling.sol,4,Contract4,0,3,2,setData,1,0,3,1
